reference,system
"the exceptionally diverse species flocks of cichlid fishes in east africa are prime examples of parallel adaptive radiations. about 80 % of east africa's more than 1 800 endemic cichlid species, and all species of the flocks of lakes victoria and malawi, belong to a particularly rapidly evolving lineage, the haplochromines. one characteristic feature of the haplochromines is their possession of egg-dummies on the males'anal fins. these egg-spots mimic real eggs","der flavoprotein-rezeptor 1 ( csf1ra ) ist ein protein, das auf dem chromosom 16 genlocus 16q2 lokalisiert ist. csf1ra wird sowohl bei den halogeniden der haploromine als auch bei den cicholinen und den ectoden der ophthalmotilapia ventralis gefunden. weiter sind auch in der entwicklungslinie der haplochromine und der colony-drive-protein-rezeptor 1 ( csf1ra ) enthalten."
biological control methods are once again being given much research focus for malaria vector control. this is largely due to the emerging threat of strong resistance to pesticides. larvivorous fish have been used for over 100 years in mosquito control and many species have proved effective. in the western kenyan highlands the larvivorous fish oreochromis niloticus l. ( perciformes : cichlidae ) ( formerly tilapia nilotica ) is commonly farmed and eaten but has not been previously tested in the field,"oreochromis niloticus ist eine planktonart aus der familie der querzahnmolche ( chrysomelidae ). sie ist eine in den britischen western kenyan heimische, larvivorische fische, die erstmals für die kontrolle von mosquitolebenden tieren verwendet wurde."
"staphylococcus aureus, a leading cause of chronic or acute infections, is traditionally considered an extracellular pathogen despite repeated reports of s. aureus internalization by a variety of non-myeloid cells in vitro. this property potentially contributes to bacterial persistence, protection from antibiotics and evasion of immune defenses. mechanisms contributing to internalization have been partly elucidated, but bacterial processes triggered intracellularly are largely unknown. we have developed an in","staphylococcus aureus ist ein kugelförmiges, grampositives bakterium. es ist in der lage, sich im inneren von zellen zu vermehren, vor allem mit der rna von myo-zellen ( makrophagen ). staphylococcus aureus ist der einzige lebende vertreter der gattung staphylococcus, die weltweit verbreitet ist."
"changes of dermal collagen and elastin content are characteristic for skin aging as well as for pathological skin conditions. to evaluate these changes, we used in vivo multiphoton laser tomography to measure two-photon excited autofluorescence ( af ) and second harmonic generation ( shg ). we tested 18 patients of all ages and calculated the shg-to-af aging index of dermis ( saaid ). we observed a negative relationship between the saaid and age, which was accelerated for the female ( n=7","der shg-to-af-aging index ( shg-to-af-aging index ) ist ein alterungsindex und eine maßzahl für die physikalische altersbestimmung der haut. er wurde erstmals 1998 durch hans georg breunig, mitgründer der hauke-studie, und karsten knig entwickelt und wird in der medizin ( dermatologie ) zur bestimmung des hautaging-risikos verwendet."
"background there are a number of interventions available to help people stop smoking. one of them is using telephone calls to give smokers information, advice, and help to stop smoking. people can use these services by calling quitlines or by signing up to get calls from counsellors. we wanted to find out whether telephone counselling can help people quit smoking. our most recent search for evidence was in may 2018. study characteristics we found 104 studies ( including 111,653 participants ) testing the effect of any type of telephone counselling. the participants were mostly adult smo","die elektropsychologie ist ein teilgebiet der psychotherapie. sie beschäftigt sich mit der informationsgewinnung und -verarbeitung von menschen, die tabakrauchen ( sowie das austreiben von nikotin ) abwehren. hierzu können technische hilfsmittel eingesetzt werden, die nötig sind, um das tabakrauchen zu verhindern oder die gesundheit zu verbessern. zudem gibt es überwachende methoden, die eine wirksamkeit von eigenen drogen haben."
"dendritic cells ( dcs ) are central to the initiation and regulation of the adaptive immune response during infection. modulation of dc function may therefore allow evasion of the immune system by pathogens. significant depression of the host's systemic immune response to both concurrent infections and heterologous vaccines has been observed during malaria infection, but the mechanisms underlying this immune hyporesponsiveness are controversial. here, we demonstrate that the blood stages of malaria infection induce a failure of dc function","die dc-funktion von plasmodiuminfektionen bezeichnet die aktivierung des immunsystems durch t-zellen, die im rahmen einer infektion vorkommen. die aktivierung der dc-funktion führte zur überwältigung der infektionsassoziierten t-zellen und gewebe an den recipienten."
"new zealand introduced a smokefree bars and restaurants policy in december 2004. we reviewed the data available at december 2005 on the main public health, societal and political impacts and responses within new zealand to the new law. data were collected from publicly available survey reports, and from government departments and interviews. this included data on smoking in bars, attitudes to smokefree bars, bar patronage, socially cued smoking, and perceived rights to smokefree workplaces. the proportion of","das new zealand bars and restaurants policy ist eine gesetzesinitiative von neuseeland, die es bars, restaurants und clubs in neuseeland ermöglicht, tabakfrei zu arbeiten und gegen bezahlung zu konsumieren."
"it has been shown in our previous work that breast asymmetry is related to several of the known risk factors for breast cancer, and that patients with diagnosed breast cancer have more breast volume asymmetry, as measured from mammograms, than age-matched healthy women. in the present study, we compared the breast asymmetry of women who were free of breast disease at time of mammography, but who had subsequently developed breast cancer, with that of age-matched healthy controls who had remained disease-free to time of the","in der frauenforschung ist die brustsasymmetrie die statistische symmetrie einer frau unter der berücksichtigung von altersangaben über die dauer der schwangerschaft, bildung und wachstum ihrer brustdrüsen, erkrankungen mit einer brustveränderung oder risiko für brustkrebs. eine brustsasymmetrie beschreibt die symmetrie der brustdrüsen."
"habitat variation strongly influences the evolution of developmentally flexible traits, and may drive speciation and diversification. the plethodontid salamander eurycea tynerensis is endemic to the geologically diverse ozark plateau of south-central north america, and comprises both strictly aquatic paedomorphic populations ( achieving reproductive maturity while remaining in the larval form ) and more terrestrial metamorphic populations. the switch between developmental modes has occurred many times, but populations typically exhibit","habitat variation bezeichnet eine ökologische variation des morphologischen verlaufs von lebewesen, die die abhängigkeit von der größe, form und anderen merkmalen der habitatebene von über 1000 verschiedenen organismen beschreibt. diese wechselwirkungen werden durch die phylogenese und die biogeographie untersucht."
"recent reports suggest that alcohol use may have a protective effect on obesity. this study explores association between obesity and alcohol consumption in the non-smoking u.s. adult population. we analyzed data on a total of 8,236 respondents who participated in the third national health and nutrition examination survey. body mass index ( weight-kg/height-m ) was derived from measured height and weight data and categorized into : normal weight, overweight, and obese. alcohol consumption was measured using following measures","die alkoholkonsumption beim erwachsenen ist eine maßnahme zur bekämpfung von fettleibigkeit, diabetes mellitus und übergewicht. sie wird hauptsächlich im angloamerikanischen sprachraum durchgeführt, wobei in den usa auch die bezeichnung „ alcohol consumption “ verwendet wird."
