reference,system
"unter ionenwind versteht man einen gerichteten fluss von ionen, also eine art der ionenstrahlung. erzeugt wird er durch eine gasentladung, die von einer an positiver hochspannung liegenden elektrode ( meist spitz geformt, was eine sehr starke inhomogenität des elektrischen feldes mit sich bringt ) ausgeht. die ionisation erfolgt durch entzug von elektronen. die so erzeugten positiv geladenen ionen werden dann von dieser","ein ionenwind ist ein elektrisches wind, das in einem elektrischen feld erzeugt wird. es handelt sich um einen elektrischen wind, bei dem die elektrische energie in einem elektrischen feld erzeugt wird. der ionenwind wird auch als ionenwind bezeichnet. der ionenwind wird auch als ionenwind bezeichnet. der ionenwind wird auch als ionenwind bezeichnet. der ionenwind wird auch als ionenwind be"
"horror vacui ( lat. scheu vor der leere ) bezeichnet in der kunst den wunsch, alle leeren flächen, besonders in der malerei und im relief, mit darstellungen oder ornamenten zu füllen.","horror vacui ( auch horror vacui ) ist ein begriff aus der architektur, der in der architektur, insbesondere in der architektur, insbesondere in der architektur, insbesondere in der architektur, insbesondere in der architektur, in der architektur, in der architektur, in der architektur, in der architektur, in der architektur, in der architektur, in der architektur, in der architektur, in der architektur, in der"
"bei der kryptosporidiose handelt es sich um eine durchfallerkrankung durch die zu den apicomplexa gehörenden kryptosporidien. bei menschen mit zellulärer immunschwäche ( z. b. aids ) tritt diese sonst seltene erkrankung gehäuft auf. die übertragung erfolgt als orale infektion durch die aufnahme infizierter speisen oder infizierten trinkwassers. eine infektion über infizierte haus- und nutztiere, sowie von mensch zu mensch ist möglich.",cryptosporidium ( apicomplexa ) ist eine sammelbezeichnung für eine sammelbezeichnung für eine sammelbezeichnung für eine infektionskrankheit.
"wonder woman ist einer der ältesten superhelden ( und die erste superheldin ) des dc-comics-verlags. sie wurde von william moulton marston und seiner frau, elizabeth holloway marston ( sadie ), geschaffen und hatte ihren ersten auftritt 1941 in all star comics # 8.","der begriff wonder woman ist eine us-amerikanische comicfigur, die sich mit der geschichte des universums befasst. die ursprüngliche bezeichnung stammt aus dem englischen sprachraum."
"dieser artikel beschreibt die grammatik der georgischen sprache ( eigenbezeichnung : [ kartuli ena ] ქართული ენა ). die grammatik des georgischen und der anderen sogenannten kaukasischen sprachen ist so umfangreich, dass hier keineswegs alle einzelheiten aufgeführt sind.","die georgianische grammatik ist eine grammatik, die sich mit der grammatik georgian beschäftigt. sie beschäftigt sich mit der grammatik, der grammatik und der grammatik."
"ein zwiebelturm ist ein turm mit einer zwiebelhaube oder einem zwiebelhelm, z. b. ein kirchturm, dessen spitze in form einer zwiebel gearbeitet ist. der untere teil der spitze ist bauchig und läuft nach oben spitz zusammen, vergleichbar mit den kirchtürmen der moskauer basilius-kathedrale. neben runden bauformen werden auch türme mit eckigen turmhauben als zwiebelturm bezeichnet.","ein oniondom ( russisch onion dome ) ist ein begriff aus der architektur und architektur. es handelt sich dabei um eine kleine, kleine, kleine, kleine, braune, braune, braune, braune, braune, braune, braune, braune, braune, braune, braune, braune, braune, braune, braune, braune"
"als partikelschwarmoptimierung ( pso ) wird ein naturanaloges optimierungsverfahren bezeichnet, das nach dem vorbild des biologischen schwarmverhaltens eine lösung für ein optimierungsproblem sucht. analog zum natürlichen phänomen wird eine population von lösungskandidaten durch den suchraum bewegt, um eine gute lösung für das problem zu erhalten. in jedem rechenschritt wird dazu die position jedes individuums neu berechnet. die pso ist eine metaheuristik, sie wurde 1995 von james kenne","der pso-algorithmus ist ein algorithmus, das einen algorithmus entwickelt, um einen bestimmten zustand zu ermöglichen. der pso-algorithmus ist ein algorithmus, bei dem einen bestimmten zustand in einem bestimmten zustand entsteht. der pso-algorithmus ist ein algorithmus, bei dem einen bestimmten zustand in einem bestimmten zustand eingesetzt werden kann. der pso-algorithmus basiert auf einem algorithmus"
"james rumbaugh ( * 22. august 1947 in bethlehem, pennsylvania ) ist ein amerikanischer informatiker.","dennis rammond rumbaugh ( * 26. juni 1946 in bethlehem, texas ) ist ein us-amerikanischer informatiker."
das archaeological institute of america ( aia ) ist eine us-amerikanische non-profit-organisation zur förderung der archäologie mit sitz in boston und new york.,das institute of agriculture ( aia ) ist ein forschungsinstitut für wirtschaftswissenschaften. es gehört zu den größten unternehmen der vereinigten staaten. es gehört zu den größten unternehmen der vereinigten staaten. das unternehmen gehört zu den größten unternehmen der vereinigten staaten. das unternehmen gehört zu den größten unternehmen der vereinigten staaten.
"hirnventrikel sind mit hirnwasser ( liquor cerebrospinalis ) gefüllte hohlräume im gehirn. sie bilden, zusammen mit dem rückenmarkskanal ( canalis centralis medullaris ), den inneren liquorraum. das gehirn weist je einen seitenventrikel in jeder großhirnhemisphäre auf, einen dritten ventrikel im zwischenhirn und den vierten ventrikel im rhombencephalon. diese vier hirnventrikel stehen durch löcher ( foramina",der ventrikel ( lateinisch ventriculus ) ist ein zentraler teil des körpers. er liegt im vordergrund des körpers. der ventrikel befindet sich im vordergrund des körpers. der ventrikel befindet sich im vordergrund des körpers. der ventrikel befindet sich im vordergrund des körpers. der ventrikel befindet sich im vordergrund des körpers. der ventrikel befindet sich im vordergrund des körpers. der ventrikel befindet
