reference,system
"unter ionenwind versteht man einen gerichteten fluss von ionen, also eine art der ionenstrahlung. erzeugt wird er durch eine gasentladung, die von einer an positiver hochspannung liegenden elektrode ( meist spitz geformt, was eine sehr starke inhomogenität des elektrischen feldes mit sich bringt ) ausgeht. die ionisation erfolgt durch entzug von elektronen. die so erzeugten positiv geladenen ionen werden dann von dieser","ein ionenwind ist ein elektrisches feld, das durch elektrische energie erzeugt wird."
"horror vacui ( lat. scheu vor der leere ) bezeichnet in der kunst den wunsch, alle leeren flächen, besonders in der malerei und im relief, mit darstellungen oder ornamenten zu füllen.","horror vacui ( von lat. vacuus „ geschlossenes raum “ ) ist ein begriff aus der kunst, der in der antike, insbesondere in der antike und in der antike verwendet wird. der begriff stammt aus dem griechischen wort horror."
"bei der kryptosporidiose handelt es sich um eine durchfallerkrankung durch die zu den apicomplexa gehörenden kryptosporidien. bei menschen mit zellulärer immunschwäche ( z. b. aids ) tritt diese sonst seltene erkrankung gehäuft auf. die übertragung erfolgt als orale infektion durch die aufnahme infizierter speisen oder infizierten trinkwassers. eine infektion über infizierte haus- und nutztiere, sowie von mensch zu mensch ist möglich.","cryptosporidium ist ein parasit aus der familie der protozoen. es handelt sich um eine infektionskrankheit, die durch infektionskrankheiten verursacht wird."
"wonder woman ist einer der ältesten superhelden ( und die erste superheldin ) des dc-comics-verlags. sie wurde von william moulton marston und seiner frau, elizabeth holloway marston ( sadie ), geschaffen und hatte ihren ersten auftritt 1941 in all star comics # 8.","wonder woman ist eine us-amerikanische comicfigur, die von william moulton marston und elizabeth holloway marston entwickelt wurde."
"dieser artikel beschreibt die grammatik der georgischen sprache ( eigenbezeichnung : [ kartuli ena ] ქართული ენა ). die grammatik des georgischen und der anderen sogenannten kaukasischen sprachen ist so umfangreich, dass hier keineswegs alle einzelheiten aufgeführt sind.","die georgische grammatik ( auch georgische grammatik, georgische grammatik, georgische grammatik, georgische grammatik, georgische grammatik, georgische grammatik, georgische grammatik, georgische grammatik, georgische grammatik, georgische grammatik, georgische grammatik, georgische grammatik, georgische grammatik, georgische grammatik, georgische grammatik, georgische grammatik, georgische grammatik"
"ein zwiebelturm ist ein turm mit einer zwiebelhaube oder einem zwiebelhelm, z. b. ein kirchturm, dessen spitze in form einer zwiebel gearbeitet ist. der untere teil der spitze ist bauchig und läuft nach oben spitz zusammen, vergleichbar mit den kirchtürmen der moskauer basilius-kathedrale. neben runden bauformen werden auch türme mit eckigen turmhauben als zwiebelturm bezeichnet.","ein onion ( russisch оонный, оонный, оонный, оонный, оонный, оонный, оонный, оонный, оонный, оонный, оонный, оонный, оонный, оонный, оонный, оонный, оонный, оонный, оонный, оонный, оонный, оонный, оонный, оонный,"
"als partikelschwarmoptimierung ( pso ) wird ein naturanaloges optimierungsverfahren bezeichnet, das nach dem vorbild des biologischen schwarmverhaltens eine lösung für ein optimierungsproblem sucht. analog zum natürlichen phänomen wird eine population von lösungskandidaten durch den suchraum bewegt, um eine gute lösung für das problem zu erhalten. in jedem rechenschritt wird dazu die position jedes individuums neu berechnet. die pso ist eine metaheuristik, sie wurde 1995 von james kenne","der pso-algorithmus ist ein algorithmus, das algorithmische algorithmen zur lösung von algorithmischen problemen verwendet wird. es handelt sich um einen algorithmus, bei dem die beiden algorithmen i { \displaystyle i }, i }, i { \displaystyle i } und i { \displaystyle i }, i { \displaystyle i }, i { \displaystyle i } und i { \displaystyle"
"james rumbaugh ( * 22. august 1947 in bethlehem, pennsylvania ) ist ein amerikanischer informatiker.","james robert rumbaugh ( * 19. juni 1942 in bethlehem, pennsylvania ) ist ein us-amerikanischer informatiker."
das archaeological institute of america ( aia ) ist eine us-amerikanische non-profit-organisation zur förderung der archäologie mit sitz in boston und new york.,das institute of archaeology ( aia ) ist ein forschungsinstitut für archäologie und archäologie. es gehört zu den ältesten forschungsinstituten der vereinigten staaten. es gehört zu den ältesten forschungsinstituten der vereinigten staaten. das aia wurde von andrew m. t. moore gegründet.
"hirnventrikel sind mit hirnwasser ( liquor cerebrospinalis ) gefüllte hohlräume im gehirn. sie bilden, zusammen mit dem rückenmarkskanal ( canalis centralis medullaris ), den inneren liquorraum. das gehirn weist je einen seitenventrikel in jeder großhirnhemisphäre auf, einen dritten ventrikel im zwischenhirn und den vierten ventrikel im rhombencephalon. diese vier hirnventrikel stehen durch löcher ( foramina","das vierte ventrikel ( lateinisch quintus ventriculus, lateinisch quintus ventriculus ) ist ein zentrales nervensystem, das im bereich des hirns und des hirns entsteht. das ventrikel befindet sich am vorderen ende des hirns. das ventrikel bildet den zentralkanal des hirns. das ventrikel befindet sich am vorderen ende des hirns. das ventrikel bildet den zentralkanal des hirns. das ventrikel befindet sich"
