reference,system,r1_f
"das farb - gen csf1ra sorgt in männlichen barschen für charakteristische pigmentflecken, die für die erfolgreiche befruchtung der eier notwendig sind. walter salzburger und ingo braasch klärten an der universität konstanz damit die genetische herkunft dieser optischen ei - attrappen auf, die im paarungsritus der fische die weibchen anlocken. die neunzehn barscharten, die die forscher für ihre untersuchungen auswählten, gehörten zu gruppe der haplochrominen. eine besonderheit dieser gruppe stellt die ungewöhnliche maulbrutpflege der weiblichen tiere dar. nachdem die weibchen die eier gelegt haben, nehmen sie das noch unbefruchtete gelege in ihre mundhöhle auf. um nun die eier mit ihrem sperma befruchten","parallel adaptive radiationen ( engl. : parallel adaptive radiation ) sind evolutionsfaktoren, die bei der entwicklung von zellkulturen eine rolle spielen. sie kommen vor allem bei cikelnden fishen vor.",7.41
"der nil - tilapia ( oreochromis niloticus ) - eine afrikanische buntbarschart - vertilgt dermaßen viele larven malaria übertragender mücken, dass er als natürliche waffe gegen die fiebererkrankung eingesetzt werden könnte. zu dieser überzeugung gelangen annabel howard und kollegen vom internationalen zentrum für insektenphysiologie und - ökologie ( icipe ) in nairobi nach mehrmonatigen studien mit der art in nicht mehr genutzten fischteichen im westen kenias. innerhalb von 15wochen dezimierten die allesfressenden buntbarsche die bruten der mückenarten anopheles gambiae und anopheles funestus - hauptüberträger der malaria in der region - um mehr als 94prozent. durch diese starke einflussnahme auf die larvenpopulation sei auch ein","unter einer rückführung der larvenfische versteht man in der ökologie eine methode zur bekämpfung von arten der gattung der larvenfische ( oreochromis ), die vor allem in afrika und im westlichen asien erfolgreich ist. in der malaria-bekämpfung in südafrika werden rückführungsmethoden eingesetzt, um die populationen zu dezimieren. die rückführung der larvenfische ist eine methode, die vor allem in kenia und oman angewendet wird, dort aber auch",29.55
"der krankheitserreger staphylococcus aureus nistet sich in den zellen seines wirts ein und entgeht so dem immunsystem und antibiotika. dies fanden christian garzoni von der universität genf und kollegen heraus. ist das bakterium erst einmal in eine lungenzelle gelangt, bleibt es möglichst unauffällig. die schweizer forscher untersuchten im reagenzglas, auf welche teile seines erbguts der keim vor und nach dem eintritt in die wirtszelle zurückgreift. dabei stellten sie fest : bereits nach zwei stunden hat s. aureus sich an das überleben in der neuen umgebung angepasst. er fährt seinen stoffwechsel bis auf die vitalfunktionen zurück, vermehrt sich sehr langsam und scheidet nur noch wenige toxine aus. diese zellgifte könnten dazu führen,","staphylococcus aureus ist ein krankheitserreger der lunge, der als extrazellular pathogen klassifiziert wird.",10.69
"die haut von frauen altert schneller als die von männern. das haben untersuchungen von wissenschaftlern um martin kaatz von der universität jena mit einer neuen nicht - invasiven methode ergeben. das team um kaatz wandte zwei - photonen - tomografie an, um den anteil der zwei faserproteine kollagen und elastin in der haut der unterarme von 18patienten aller altersgruppen zu bestimmen. aus dem verhältnis von kollagen zu elastin kann auf das biologische alter der haut geschlossen werden, mit dem die kollagenmenge ab - und der anteil an elastin zunimmt. den ergebnissen der sieben weiblichen testpersonen nach zu urteilen, nimmt bei ihnen mit zunehmendem alter der kollagenanteil schneller ab als bei den männlichen. bei der prozedur nutzten die wissenschaftler aus,","die shao-optik ist ein forschungsgebiet, das sich mit der erforschung des alterungsprozesses der menschlichen haut beschäftigt. das fachgebiet wurde für die alterung der haut durch die shao-optik und die shao-zerebro-optik entwickelt.",16.67
"raucher können sich ihr laster leichter abgewöhnen, wenn sie möglichst mehrfach von einem berater angerufen werden. lindsay stead von der universität oxford und ihre kollegen ziehen diesen schluss aus einer analyse von 48studien, welche den einfluss verschiedener hilfestellungen beim abgewöhnen des rauchens untersuchten. die telefonisch beratenen sind um die hälfte erfolgreicher als ihre leidensgenossen, die nur selbsthilfematerial oder kurze beratungsgespräche erhielten. der größte effekt zeigte sich, wenn mindestens drei anrufe erfolgten. die forscher aktualisierten mit ihrer analyse ihre frühere studie zum thema aus dem jahr2003.","die nikotintherapie ist ein verfahren zur behandlung von nikotinerkrankungen. sie wird in speziellen therapieformen, d. h. bei tabak-rauchern zum einsatz gebracht, wie z. b. fallstudien oder therapiegespräche, eingesetzt. das nikotin entstammt einem speziellen limbischen system, das auf der kontrolle des durchraucherhaushalts ( smokers ) gegründet ist. bei der nikotintherapie wird überwiegend das nikotin ( wie z. b. über das blut oder die harnröhre ) eingesetzt",15.09
"britische forscher haben jetzt herausgefunden, warum malaria - patienten auch für andere infektionskrankheiten anfälliger sind. ihrem bericht zufolge besitzt der erreger plasmodium die fähigkeit, schlüsselzellen des immunsystems zu schwächen [ 1 ]. in ihren versuchen hatten owain millington und sein team von der universität strathclyde dendritische zellen von mäusen mit roten blutzellen konfrontiert, die mit plasmodium chabaudi, dem erreger der mäuse - malaria, infiziert waren. die anschließende immunantwort sei eher schwach ausgefallen, berichten die forscher. sie erklären sich dies mit der präsenz des pigments hämozoin, das beim abbau von hämoglobin durch plasmodium entsteht. dadurch würden die dendritischen zellen nicht in vollem umfang funktionieren : ihre z","als dendritische zellen oder auch dendritische immunzellen werden immunzellen bezeichnet, die bei infektionen mit erythrozyten oder anderen krankheitserregern ihre immunantwort während der infektion aufrechterhalten bzw. regulieren. sie spielen somit eine zentrale rolle bei der entwicklung und regulation des adaptiven immunsystems des wirts.",18.99
"zwei weitere gute gründe für nikotinverzicht liefern zwei studien von der anderen seite der erde. zum einen werteten neuseeländische forscher um george thomson von der wellington school of medicine aus, wie sich dass seit 2004 in dem inselstaat gültige rauchverbot in der öffentlichkeit auswirkte [ 1 ]. demzufolge ist seit dem verabschieden des anti - rauch - gesetzes der tabakkonsum in der freizeit deutlich zurückgegangen, was lunge und geldbeutel gleichermaßen schont. davor hatten 57, 8prozent der raucher angegeben, in kneipen, restaurants und bars öfter als sonst zur kippe zu greifen – nach einem jahr rauchverbot waren es nur noch 28, 6prozent, berichten die forscher nach der auswertung von fragebögen aus den jah","die smokefree-bars policy ( deutsch : rauchfreie bars auf neuseeland ) ist ein neues gesetz, das für eine reihe von städten in neuseeland die rechte, arbeit und beschäftigung von tabak-rauchern in bars und restaurants einschränken. das gesetz legt die grundlage für den einsatz von rauchgas insbesondere in nightclubs, taverns und restaurants fest. die smokefree-bars-praxis trat am 1. januar 2004 in kraft.",19.89
"asymmetrische große brüste sind einer britischen studie zufolge ein indiz für ein erhöhtes brustkrebsrisiko, berichten forscher von der universität liverpool. sie analysierten mammographie - ergebnisse von rund 500 frauen, die zum zeitpunkt der untersuchung alle gesund gewesen waren. die hälfte der untersuchten hatte dann später tumoren im brustgewebe entwickelt. wie das team um diane scutt herausgefunden hat, korrellieren größenunterschiede der brüste statistisch mit dem brustkrebsrisiko. es erhöht sich um den faktor 1, 5 pro 100 milliliter asymmetrie im volumen der brust. die brust - symmetrie könnte demnach künftig zur bestimmung des brustkrebsrisikos hinzugezogen werden, lautet der vorschlag des forscherteams.","die morphologische brustverteilung ist widersprüchlich zu anderen bereichen der brustkrebsforschung, insbesondere zu den gutartigen brustkrebserkrankungen. die brustverteilung beschreibt das phänomen einer zunahme der körperoberfläche proportional zum volumen der brustdrüse. in einigen studien wurde die brustverteilung auf der grundlage von alter und bildung des brustkrebses untersucht. die morphologische brustverteilung ist wiederum eines von mehreren bekannten risikofaktoren für das brustkrebs und",20.69
"ob junge salamander erwachsen werden und aus dem wasser an land gehen oder in ihrer entwicklung stehen bleiben, hängt von der umgebungsstruktur ab. gezielt bestimmten ronald bonett und paul chippindale von der texas - universität für jugendliche und für adulte populationen von flachstirn - gelbsalamandern ( eurycea tynerensis ) die flussbett - typen, in denen diese aufgewachsen waren. hierzu untersuchten sie die korngrößen und den grad der sortierung der bodenpartikel. dabei zeigte sich, dass die populationen, die aus flussbetten mit feinem, unsortierten kies stammen, erwachsen werden und aufs land umziehen. solche, die zwischen gröberem schotter heranwachsen, verblieben in diesem stadium. in den hohlräumen zwischen grobem, gut sort",der plethodontid salamander eurycea tynerensis ist ein entwicklungstyp und artenreicher vertreter der gattung salamander aus der familie der röhrensplügler ( trichechiidae ).,15.27
"personen, die wenig alkohol trinken, sind mit geringerer wahrscheinlichkeit fettleibig - nicht nur im vergleich zu menschen, die viel trinken, sondern auch zu abstinenzlern. dies ergab eine studie von ahmed arif von der texas - tech - universität in lubbock und james roher von der mayo - klinic in rochester. die beiden us - forscher hatten daten einer umfassenden untersuchung zum thema gesundheit und ernährung ( third national health and nutrition examination survey ) von 1988 bis 1994 ausgewertet. darin hatten 8236 nicht rauchende us - bürger unter anderem angaben zu ihrem trinkverhalten angegeben. arif und roher richteten ihr augenmerk auf die anzahl der täglich konsumierten alkoholika und berechneten den body - mass - index ( bmi ) der befragten. die wenigsten fettle",die obesitätsforschung ist eine untersuchung zur epidemiologie und erforschung von adipositas. sie beschreibt die wirkung von alkohol und anderen drogen wie trinkwasser und spirituosen auf die körperoberfläche.,16.55
