reference,system
"the exceptionally diverse species flocks of cichlid fishes in east africa are prime examples of parallel adaptive radiations. about 80 % of east africa's more than 1 800 endemic cichlid species, and all species of the flocks of lakes victoria and malawi, belong to a particularly rapidly evolving lineage, the haplochromines. one characteristic feature of the haplochromines is their possession of egg-dummies on the males'anal fins. these egg-spots mimic real eggs","haplochromine sind intrazelluläre signale, die von vielen fischarten in ihrem zellkern vorkommen. sie sind haplochromine des menschen und leiten sich von den leichteren haplochrominen ab. bei menschen sind mehr als 2000 haplochromine im genom vorhanden, so dass sie zu den signaltransduktionsfaktoren gehören."
biological control methods are once again being given much research focus for malaria vector control. this is largely due to the emerging threat of strong resistance to pesticides. larvivorous fish have been used for over 100 years in mosquito control and many species have proved effective. in the western kenyan highlands the larvivorous fish oreochromis niloticus l. ( perciformes : cichlidae ) ( formerly tilapia nilotica ) is commonly farmed and eaten but has not been previously tested in the field,"die larvivorische fische ( larvivorous fish oreochromis niloticus ) ist eine fischart aus der familie der mosquilidae, die ursprünglich im tropischen westlichen kenia heimisch war. sie wurde erstmals 1914 von j. j. mulla beschrieben und später nach ihm benannt."
"staphylococcus aureus, a leading cause of chronic or acute infections, is traditionally considered an extracellular pathogen despite repeated reports of s. aureus internalization by a variety of non-myeloid cells in vitro. this property potentially contributes to bacterial persistence, protection from antibiotics and evasion of immune defenses. mechanisms contributing to internalization have been partly elucidated, but bacterial processes triggered intracellularly are largely unknown. we have developed an in","staphylococcus aureus ist ein schlauchpilz aus der gattung staphylococcus, der reich an fluoreszenz- und hydroxidionen ist. staphylococcus aureus ist der häufigste vertreter der gattung staphylococcus und lebt in der lunge von wirbeltieren."
"changes of dermal collagen and elastin content are characteristic for skin aging as well as for pathological skin conditions. to evaluate these changes, we used in vivo multiphoton laser tomography to measure two-photon excited autofluorescence ( af ) and second harmonic generation ( shg ). we tested 18 patients of all ages and calculated the shg-to-af aging index of dermis ( saaid ). we observed a negative relationship between the saaid and age, which was accelerated for the female ( n=7",der begriff alterung der haut bezeichnet die prozesse des alterns. das altern der haut ist ein komplexer kardiogenes phänomen mit mehreren ursachen. ursache ist der wechsel des lichtverhältnisses zwischen dem licht der haut ( ir ) und dem haar ( ir ).
"background there are a number of interventions available to help people stop smoking. one of them is using telephone calls to give smokers information, advice, and help to stop smoking. people can use these services by calling quitlines or by signing up to get calls from counsellors. we wanted to find out whether telephone counselling can help people quit smoking. our most recent search for evidence was in may 2018. study characteristics we found 104 studies ( including 111,653 participants ) testing the effect of any type of telephone counselling. the participants were mostly adult smo","gruppenpsychotherapie ( auch gruppenberatung ) ist eine form der gesundheitspsychologie, die sich in der mehrteiligen hilfe von smokern zum abbau von tabak entwickelt hat. entsprechende angebote gibt es in deutschland seit 1999."
"dendritic cells ( dcs ) are central to the initiation and regulation of the adaptive immune response during infection. modulation of dc function may therefore allow evasion of the immune system by pathogens. significant depression of the host's systemic immune response to both concurrent infections and heterologous vaccines has been observed during malaria infection, but the mechanisms underlying this immune hyporesponsiveness are controversial. here, we demonstrate that the blood stages of malaria infection induce a failure of dc function","die dendritische zellfunktion, auch dc-funktion, engl. dendritic cell function, beschreibt die funktion spezieller zellen des immunsystems bei infektionen."
"new zealand introduced a smokefree bars and restaurants policy in december 2004. we reviewed the data available at december 2005 on the main public health, societal and political impacts and responses within new zealand to the new law. data were collected from publicly available survey reports, and from government departments and interviews. this included data on smoking in bars, attitudes to smokefree bars, bar patronage, socially cued smoking, and perceived rights to smokefree workplaces. the proportion of","smokefree bars in new zealand ist die offizielle bezeichnung für bars, pubs und restaurants, die nicht rauchen. das neue gesetz nennt die premises, bars und restaurants „ frei von rauch und tabak “.durch die im jahr 2004 eingeführte smokefree-bars policy wurden die ersten daten zur tabakregulierung auf den markt gebracht. smokefree bars setzte eine smokefree-position ein. während die ersten drei wochen 2004 bis 2005 gab es nur 196 smokefree bars"
"it has been shown in our previous work that breast asymmetry is related to several of the known risk factors for breast cancer, and that patients with diagnosed breast cancer have more breast volume asymmetry, as measured from mammograms, than age-matched healthy women. in the present study, we compared the breast asymmetry of women who were free of breast disease at time of mammography, but who had subsequently developed breast cancer, with that of age-matched healthy controls who had remained disease-free to time of the",die brustvergrößerung ist ein maß für die anzahl der brustumsfähigen frauen in einer bestimmten zeitspanne. es handelt sich hierbei um die verhältnisse von brustumsradius ( radius = mittlerer wachstumsradius ) zu brustumsradius ( spezifisches wachstumsradius ) in relation zur altersabhängigen brustfehlbildung. die brustvergrößerung ist eines der wichtigsten ergebnisse der epidemiologischen studien zum breast cancer.
"habitat variation strongly influences the evolution of developmentally flexible traits, and may drive speciation and diversification. the plethodontid salamander eurycea tynerensis is endemic to the geologically diverse ozark plateau of south-central north america, and comprises both strictly aquatic paedomorphic populations ( achieving reproductive maturity while remaining in the larval form ) and more terrestrial metamorphic populations. the switch between developmental modes has occurred many times, but populations typically exhibit",der plethodontid salamander eurycea tynerensis ist ein schottischer polymorphismus des ozark-plateaus im ozark-nationalpark in den usa. er wurde von dem paläontologen edward rees entdeckt.
"recent reports suggest that alcohol use may have a protective effect on obesity. this study explores association between obesity and alcohol consumption in the non-smoking u.s. adult population. we analyzed data on a total of 8,236 respondents who participated in the third national health and nutrition examination survey. body mass index ( weight-kg/height-m ) was derived from measured height and weight data and categorized into : normal weight, overweight, and obese. alcohol consumption was measured using following measures",die association between overweight and alcohol consumption ( acm ) ist eine studie zur bewertung von körpergewicht und alkoholkonsum in den vereinigten staaten. sie wurde durch den third national health and nutrition survey ( dritter national health-and- nutrition-exploration-de survey ) gewonnen.
