reference,system
"the exceptionally diverse species flocks of cichlid fishes in east africa are prime examples of parallel adaptive radiations. about 80 % of east africa's more than 1 800 endemic cichlid species, and all species of the flocks of lakes victoria and malawi, belong to a particularly rapidly evolving lineage, the haplochromines. one characteristic feature of the haplochromines is their possession of egg-dummies on the males'anal fins. these egg-spots mimic real eggs","die haplochromine sind eine familie der cytochromine, die zur ordnung der lungenfische ( analphaciformes ) gehören. sie sind nahe verwandt mit den haplochrominen, die einen teil der zellen des prallenfisches basalmembran bilden. deshalb sind sie im vergleich zu den übrigen zellen des prallenfisches häufig haplogenetisch."
biological control methods are once again being given much research focus for malaria vector control. this is largely due to the emerging threat of strong resistance to pesticides. larvivorous fish have been used for over 100 years in mosquito control and many species have proved effective. in the western kenyan highlands the larvivorous fish oreochromis niloticus l. ( perciformes : cichlidae ) ( formerly tilapia nilotica ) is commonly farmed and eaten but has not been previously tested in the field,"die larva niloticus ist eine art aus der familie der glockenfische ( chrysomelidae ). sie wurde in kenia eingeführt, um die schädlinge von anopheles gambiae zu bekämpfen. die larva niloticus wurde von mulla ausgestorben."
"staphylococcus aureus, a leading cause of chronic or acute infections, is traditionally considered an extracellular pathogen despite repeated reports of s. aureus internalization by a variety of non-myeloid cells in vitro. this property potentially contributes to bacterial persistence, protection from antibiotics and evasion of immune defenses. mechanisms contributing to internalization have been partly elucidated, but bacterial processes triggered intracellularly are largely unknown. we have developed an in","staphylococcus aureus ist ein gramnegatives, stäbchenförmiges bakterium der gattung staphylococcus, das normalerweise nur in gramnegativen staphylokokken vorkommt. staphylococcus aureus ist außerordentlich häufig in der lunge von säugetieren nach infektionen mit haemophilus influenzae-1 und haemophilus influenzae-2 lebensfähig und ist erreger des haemophilus influenzae-1.häufigtritt staphylococcus aureus in krankenhäusern auf"
"changes of dermal collagen and elastin content are characteristic for skin aging as well as for pathological skin conditions. to evaluate these changes, we used in vivo multiphoton laser tomography to measure two-photon excited autofluorescence ( af ) and second harmonic generation ( shg ). we tested 18 patients of all ages and calculated the shg-to-af aging index of dermis ( saaid ). we observed a negative relationship between the saaid and age, which was accelerated for the female ( n=7",der begriff dermatischer collagen- und elastin-index ( shg ) bezeichnet die differenz zwischen fotografischem lichtlicht ( dia ) und dem ruhelicht ( shg ).
"background there are a number of interventions available to help people stop smoking. one of them is using telephone calls to give smokers information, advice, and help to stop smoking. people can use these services by calling quitlines or by signing up to get calls from counsellors. we wanted to find out whether telephone counselling can help people quit smoking. our most recent search for evidence was in may 2018. study characteristics we found 104 studies ( including 111,653 participants ) testing the effect of any type of telephone counselling. the participants were mostly adult smo","die telefonberatung ist eine form der beratung für tabaker. sie wird in der medizin, psychotherapie und patientenpsychologie eingesetzt."
"dendritic cells ( dcs ) are central to the initiation and regulation of the adaptive immune response during infection. modulation of dc function may therefore allow evasion of the immune system by pathogens. significant depression of the host's systemic immune response to both concurrent infections and heterologous vaccines has been observed during malaria infection, but the mechanisms underlying this immune hyporesponsiveness are controversial. here, we demonstrate that the blood stages of malaria infection induce a failure of dc function","die malaria-infektion bezeichnet sowohl eine externe ( lunge ) als auch eine interne ( äußere ) infektion des lungenmarks, die sich auf die zellbiologischen aspekte des immunsystems auswirkt."
"new zealand introduced a smokefree bars and restaurants policy in december 2004. we reviewed the data available at december 2005 on the main public health, societal and political impacts and responses within new zealand to the new law. data were collected from publicly available survey reports, and from government departments and interviews. this included data on smoking in bars, attitudes to smokefree bars, bar patronage, socially cued smoking, and perceived rights to smokefree workplaces. the proportion of","smokefree bars in new zealand sind eine sozialreformerische initiative, die eine gesellschaftliche und gesundheitliche richtlinie erarbeitet hat. das ziel der initiative ist es, die einrichtung von bars und restaurants in neuseeland zu vereinfachen und zu verbessern. smokefree bars sind mitglieder freiwilliger initiativen, die die rechte von bararbeitern und arbeitnehmern erhöhen."
"it has been shown in our previous work that breast asymmetry is related to several of the known risk factors for breast cancer, and that patients with diagnosed breast cancer have more breast volume asymmetry, as measured from mammograms, than age-matched healthy women. in the present study, we compared the breast asymmetry of women who were free of breast disease at time of mammography, but who had subsequently developed breast cancer, with that of age-matched healthy controls who had remained disease-free to time of the","die brustfettämie ( englisch breast asymmetry ) ist eine physikalische messgröße, die über die altersdaten von frauen definiert wurde, die auf eine oder mehrere bestimmte störungen der brustdrüse hinweisen können. sie wurde in einer prospektiven studie von 1999 bis 2000 der gruppe von postmenopausalen frauen aus dem rahmen der alterspausalien bestimmt. altersproportionalität und relative brustfettämie sind statistisch erfasste faktoren für das auftreten von"
"habitat variation strongly influences the evolution of developmentally flexible traits, and may drive speciation and diversification. the plethodontid salamander eurycea tynerensis is endemic to the geologically diverse ozark plateau of south-central north america, and comprises both strictly aquatic paedomorphic populations ( achieving reproductive maturity while remaining in the larval form ) and more terrestrial metamorphic populations. the switch between developmental modes has occurred many times, but populations typically exhibit","die eurycea tynerensis ist eine spezies der spektralgeographischen analyse von wasserschüttungen. das system wurde im jahre 1938 von dem us-amerikanischen molekularbiologen edward eurycea entdeckt. es ist entworfen für die analyse von lebensräumen, die sich zwischen verschiedenen entwicklungsmoden befinden."
"recent reports suggest that alcohol use may have a protective effect on obesity. this study explores association between obesity and alcohol consumption in the non-smoking u.s. adult population. we analyzed data on a total of 8,236 respondents who participated in the third national health and nutrition examination survey. body mass index ( weight-kg/height-m ) was derived from measured height and weight data and categorized into : normal weight, overweight, and obese. alcohol consumption was measured using following measures","die study of alcohol consumption ist eine prospektive studie des us-amerikanischen gesundheitsinstituts food and drug administration ( fda ). sie wurde während der national health and nutrition examination ( nout ) dazu entwickelt, die assoziation zwischen alkoholkonsum und adipositas ( übergewicht und adipositas ) zu erforschen."
