reference,system
"das farb - gen csf1ra sorgt in männlichen barschen für charakteristische pigmentflecken, die für die erfolgreiche befruchtung der eier notwendig sind. walter salzburger und ingo braasch klärten an der universität konstanz damit die genetische herkunft dieser optischen ei - attrappen auf, die im paarungsritus der fische die weibchen anlocken. die neunzehn barscharten, die die forscher für ihre untersuchungen auswählten, gehörten zu gruppe","der begriff parallel-adaptive radiation ( englisch parallel adaptive radiation ) bezeichnet eine reihe von adaptiven strahlungen, die in der biologie, der biologie, der biologie, der biologie, der biologie, der biologie, der biologie, der biologie, der biologie, der biologie, der biologie, der biologie, der biologie, der biologie, der biologie, der biologie, der biologie, der biologie und"
"der nil - tilapia ( oreochromis niloticus ) - eine afrikanische buntbarschart - vertilgt dermaßen viele larven malaria übertragender mücken, dass er als natürliche waffe gegen die fiebererkrankung eingesetzt werden könnte. zu dieser überzeugung gelangen annabel howard und kollegen vom internationalen zentrum für insektenphysiologie und - ökologie ( icipe ) in nairobi nach mehrmonatigen studien mit der art in nicht mehr genutzten fisch",die biologische kontrolle ( auch biologische kontrolle ) sind eine methode zur vermeidung von parasiten und insekten.
"der krankheitserreger staphylococcus aureus nistet sich in den zellen seines wirts ein und entgeht so dem immunsystem und antibiotika. dies fanden christian garzoni von der universität genf und kollegen heraus. ist das bakterium erst einmal in eine lungenzelle gelangt, bleibt es möglichst unauffällig. die schweizer forscher untersuchten im reagenzglas, auf welche teile seines erbguts der keim vor und nach dem eintritt in die wirtszelle","staphylococcus aureus ( auch staphylococcus aureus ) ist ein krankheitserreger, der während einer akuten infektionskrankheit entstanden ist. staphylococcus aureus ist ein extrazellulärer infektionserreger."
"die haut von frauen altert schneller als die von männern. das haben untersuchungen von wissenschaftlern um martin kaatz von der universität jena mit einer neuen nicht - invasiven methode ergeben. das team um kaatz wandte zwei - photonen - tomografie an, um den anteil der zwei faserproteine kollagen und elastin in der haut der unterarme von 18patienten aller altersgruppen zu bestimmen. aus dem verhältnis von kollagen zu elastin kann auf das biologische alter der","die optical society of america ist ein us-amerikanischer forschungspreis, der von der optical society of america gegründet wurde. die optical society of america ist ein forschungspreis der optical society of america. die optical society of america ist ein forschungspreis der optical society of america."
"raucher können sich ihr laster leichter abgewöhnen, wenn sie möglichst mehrfach von einem berater angerufen werden. lindsay stead von der universität oxford und ihre kollegen ziehen diesen schluss aus einer analyse von 48studien, welche den einfluss verschiedener hilfestellungen beim abgewöhnen des rauchens untersuchten. die telefonisch beratenen sind um die hälfte erfolgreicher als ihre leidensgenossen, die nur selbsthilfematerial oder kurze beratungsgespräche","ein sprechmittel ist ein hilfsmittel, das dazu dient, menschen zu stoppen. es handelt sich um einen hilfsmittel, der dazu dient, menschen zu stoppen und zu unterstützen. es handelt sich dabei um einen hilfsmittel, der dazu dient, menschen zu stoppen und zu unterstützen."
"britische forscher haben jetzt herausgefunden, warum malaria - patienten auch für andere infektionskrankheiten anfälliger sind. ihrem bericht zufolge besitzt der erreger plasmodium die fähigkeit, schlüsselzellen des immunsystems zu schwächen [ 1 ]. in ihren versuchen hatten owain millington und sein team von der universität strathclyde dendritische zellen von mäusen mit roten blutzellen konfrontiert, die mit plasmodium chabaudi, dem erreger der mäuse -",der begriff dendritische zellen ( engl. dendritic cells ) bezeichnet in der epidemiologie die initiation und regulation der adaptiven immunantwort während einer infektion.
"zwei weitere gute gründe für nikotinverzicht liefern zwei studien von der anderen seite der erde. zum einen werteten neuseeländische forscher um george thomson von der wellington school of medicine aus, wie sich dass seit 2004 in dem inselstaat gültige rauchverbot in der öffentlichkeit auswirkte [ 1 ]. demzufolge ist seit dem verabschieden des anti - rauch - gesetzes der tabakkonsum in der freizeit deutlich zurückgegangen, was lunge und geldbeutel gleichermaß",das smokefree bar and restaurants policy ( englisch smokefree bar and restaurants policy ) ist eine richtlinie der neuseeländischen gesundheitsorganisation neuseelands.
"asymmetrische große brüste sind einer britischen studie zufolge ein indiz für ein erhöhtes brustkrebsrisiko, berichten forscher von der universität liverpool. sie analysierten mammographie - ergebnisse von rund 500 frauen, die zum zeitpunkt der untersuchung alle gesund gewesen waren. die hälfte der untersuchten hatte dann später tumoren im brustgewebe entwickelt. wie das team um diane scutt herausgefunden hat, korrellieren größenunterschiede der brüste statisti","der begriff schwangerschaftsasymmetrie ( englisch breast asymmetry ) bezeichnet in der medizin die anzahl der schwangerschaftsasymmetrien, die sich mit der anzahl der schwangerschaftsasymmetrien befasst. der begriff schwangerschaftsasymmetrie bezeichnet in der medizin die anzahl der schwangerschaftsasymmetrien."
"ob junge salamander erwachsen werden und aus dem wasser an land gehen oder in ihrer entwicklung stehen bleiben, hängt von der umgebungsstruktur ab. gezielt bestimmten ronald bonett und paul chippindale von der texas - universität für jugendliche und für adulte populationen von flachstirn - gelbsalamandern ( eurycea tynerensis ) die flussbett - typen, in denen diese aufgewachsen waren. hierzu untersuchten sie die korngrößen","der begriff habitat variation bezeichnet in der ökologie die wechselwirkung zwischen der entwicklungs- und lebensgeschichte, der entwicklungs- und lebensgeschichte, der entwicklungs- und lebensgeschichte, der entwicklungs- und lebensgeschichte, der entwicklungs- und lebensgeschichte, der entwicklungs- und lebensgeschichte, der entwicklungs- und lebensgeschichte, der entwicklungs- und lebensgeschichte, der entwicklungs- und lebensgeschichte, der entwicklungs- und lebensgeschichte, der entwicklungs- und lebensgeschichte"
"personen, die wenig alkohol trinken, sind mit geringerer wahrscheinlichkeit fettleibig - nicht nur im vergleich zu menschen, die viel trinken, sondern auch zu abstinenzlern. dies ergab eine studie von ahmed arif von der texas - tech - universität in lubbock und james roher von der mayo - klinic in rochester. die beiden us - forscher hatten daten einer umfassenden untersuchung zum thema gesundheit und ernährung ( third national","der begriff körpergewichtsindex ( engl. : body mass index ) ist ein maß für die gesundheitsgesundheit. er untersucht die gesundheitsgesundheit, die gesundheitsgesundheit, die gesundheitsgesundheit, die gesundheitsgesundheit, die gesundheitsgesundheit, die gesundheitsgesundheit, die gesundheitsgesundheit, die gesundheitsgesundheit, die gesundheitsgesundheit, die gesundheitsgesundheit und"
"die moschusochsen der tundra gehören zu den wenigen großen säugetieren des nordens, die bis heute überlebt haben. als solche oldtimer der fauna sind sie aber längst nicht mehr mit allen originalteilen ausgestattet : bis zum ende des pleistozän vor rund 10000 jahren haben sie eine menge ihrer genetischen variabilität eingebüßt. in zusammenarbeit mit russischen und niederländischen forschern haben ross macphee und alex greenwood vom amerikanischen naturhistorischen museum in new","die muskoxen-populationen ( auch : muskoxen-populationen ) sind eine gruppe von fossilen säugetiere, die während des kalten mittleren kalten mittleren kalten mittleren kalten mittleren kalten mittleren kalten mittleren kalten mittleren kalten mittleren kalten mittleren kalten mittleren kalten mittleren kalten mittleren kalten mittleren mittleren kalten mittleren mittleren mittleren mittleren mittleren mittleren"
"die alzheimer - demenz könnte sich mit messmethoden, welche die hirnaktivität erfassen - wie elektroencephalografie ( eeg ) oder positronenemmissionstomografie ( pet ) -, frühzeitig diagnostizieren lassen, berichten zwei arbeitsgruppen. eine sichere alzheimer - diagnose, die bisher erst nach dem tod des patienten möglich ist, wäre wichtig, um frühzeitig mit fördermaßnahmen beginnen zu können. die forscher um leslie pri","der apoe4-allel ( auch : apoe4-allel, apoe4-allel, apoe4-allel, apoe4-allel, apoe4-allel, apoe4-allel, apoe4-allel, apoe4-allel, apoe4-allel, e4+-allel, e4+-allel, e4+-allel, e4+-allel, e4+-allel, e4+"
"wissenschaftler um in kwon chung von der yonsei universität in seoul haben einen neuen mechanismus gefunden, der die länge der telomere - den schutzkappen an den chromosomenenden - beeinflusst. wie sich herausstellte, beeinflussen zwei gegensätzliche kräfte in den zellen die grundlegenden aktivitäten der telomerase, jenes enzyms, das für eine verlängerung der telomer - dna zuständig ist. wie schon länger bekannt ist, fördert zum",telomerase ist ein protein aus der gruppe der proteine.
"haben sie im urlaub mal wieder zu viel geschlemmt? und trotz radtour im grünen will das bäuchlein einfach nicht verschwinden? vielleicht wäre eine kleine sommer - diät angebracht? angebote, wie brigitte -, fasten - oder friss - die - hälfte - kuren, gibt es ja zur genüge - ein durchschlagender erfolg stellt sich allerdings nicht immer ein. auch der us - amerikanische arzt robert atkins meinte",ein kalorie ist ein begriff aus der physiologie und physiologie. es handelt sich um einen begriff aus der physiologie und physiologie.
"die neue variante der creutzfeldt - jakob - krankheit ( vcjd ) tritt in jungen menschen nicht deswegen häufiger auf, weil diese mehr rindfleischprodukte zu sich nehmen. vielmehr müsse die vergleichsweise hohe empfänglichkeit für die erkrankung bei menschen unter 40jahren mit einem noch unbekannten altersphänomen zusammenhängen, folgern wissenschaftler der joseph - fourier - universität aus den ergebnissen einer statistischen analyse. die wissenschaftler","der begriff krankheitsbedingte krankheitsbedingte krankheitsbedingte krankheitsbedingte krankheit, auch krankheitsbedingte krankheit, krankheitsbedingte krankheit, krankheitsbedingte krankheit, krankheitsbedingte krankheit, krankheitsbedingte krankheit, krankheitsbedingte krankheit, krankheitsbedingte krankheit, krankheitsbedingte krankheit, krankheitsbedingte krankheit, krankheitsbedingte krankheit, krankheitsbedingte krankheit"
"zhou ping lu vom oak ridge national laboratory will mit seinem team erstmals amorphen stahl hergestellt haben, der sich für die massenproduktion eignet. amorphe substanzen besitzen oftmals bessere eigenschaften als ihre kristallinen gegenstücke. so auch das von lu hergestellte material : es ist zweimal härter als hochfestigkeitsstahl. bislang konnten wissenschaftler ausschließlich dünne folien aus amorphem stahl herstellen. diese werden beispielsweise in transformatoren eingesetzt,","die physical review ( aps ) ist eine wissenschaftliche fachzeitschrift, die von der american physical society, der american physical society, der american physical society, der american physical society, der american physical society, der american physical society, der american physical society, der american physical society, der american physical society, der american physical society, der american physical society, der society, der american physical society, der american physical society"
"elegant reiten die meerestiere auf den hohen wellen der ozeane und springen mehrere meter aus dem wasser heraus. junge delfine sind noch nicht so kraftvolle schwimmer wie die erwachsenen säuger. um die eigenen reserven zu schonen, bedienen sie sich für die fortbewegung eines tricks : an der seite der mutter nehmen sie eine bestimmte position ein, sodass sie quasi in ihrem windschatten durch die fluten gleiten. mit hilfe dieser energiesparmaßnahme kommt der",der englische begriff drafting ( englisch : transfer of forces between individuals without actual physical contact ) ist ein begriff aus dem bereich der hydrodynamik. er beschreibt die wechselwirkungen zwischen individuen ohne eigenen physikalischen kontakt zwischen individuen ohne eigenen physikalischen kontakt zwischen individuen ohne eigenen physikalischen kontakt.
"was schief gehen kann, geht schief. so oder so ähnlich kennt jeder murphy's law, kaum ein gesetz wird wohl so häufig zitiert. aber : wer war murphy? wer hatte diese lapidare weisheit ursprünglich geprägt? der nachbar von nick spark kannte ihn - oder vielmehr sein vater. zunächst skeptisch, begab sich der schriftsteller und dokumentarfilmer daher auf spurensuche und stieß dabei auf eine alte und","why everything you know about murphys law ist ein von nick t. spark und nick t. spark geprägter begriff, der 2003 von nick t. spark veröffentlicht wurde."
"als im jahr79 der vesuv ausbrach und das antike herculaneum unter vulkanasche begrub, konservierte er gleichzeitig einen enorm wertvollen schatz. schon im 18. jahrhundert hatten archäologen damit begonnen, diesen zu heben : sie entdeckten bei einer der ersten überhaupt bekannten ausgrabungen in einer verschütteten römer - villa eine bibliothek mit hunderten von handbeschriebenen papyrus - schriftrollen, die den feuers","der herculaneum-druck ( auch herculaneum-druck, herculaneum-druck, herculaneum-druck, herculaneum-druck, herculaneum-druck, herculaneum-druck, herculaneum-druck, herculaneum-druck, herculaneum-druck, herculaneum-druck, herculaneum-druck, herculaneum-druck, herculaneum-druck, herculaneum-druck, herculaneum-"
