reference,system
"unter ionenwind versteht man einen gerichteten fluss von ionen, also eine art der ionenstrahlung. erzeugt wird er durch eine gasentladung, die von einer an positiver hochspannung liegenden elektrode ( meist spitz geformt, was eine sehr starke inhomogenität des elektrischen feldes mit sich bringt ) ausgeht. die ionisation erfolgt durch entzug von elektronen. die so erzeugten positiv geladenen ionen werden dann von dieser","der ionenwind ist ein elektrisches wind, das durch ionen, ionen, ionen, ionen, ionen, ionen, ionen, ionen, ionen, ionen, ionen, ionen, ionen, ionen, ionen, ionen, ionen, ionen, ionen, ionen, ionen, ionen, ion"
"horror vacui ( lat. scheu vor der leere ) bezeichnet in der kunst den wunsch, alle leeren flächen, besonders in der malerei und im relief, mit darstellungen oder ornamenten zu füllen.","horror vacui ( von lateinisch horror vacui, auch horror vacui ) ist ein begriff aus der architektur, der in der antike, in der antike und in der antike verwendet wird. der begriff stammt aus dem griechischen wort horror vacui."
"bei der kryptosporidiose handelt es sich um eine durchfallerkrankung durch die zu den apicomplexa gehörenden kryptosporidien. bei menschen mit zellulärer immunschwäche ( z. b. aids ) tritt diese sonst seltene erkrankung gehäuft auf. die übertragung erfolgt als orale infektion durch die aufnahme infizierter speisen oder infizierten trinkwassers. eine infektion über infizierte haus- und nutztiere, sowie von mensch zu mensch ist möglich.",cryptosporidium ( apikomplexa ) ist eine pflanzenart aus der familie der protozoen ( apicomplexa ).
"wonder woman ist einer der ältesten superhelden ( und die erste superheldin ) des dc-comics-verlags. sie wurde von william moulton marston und seiner frau, elizabeth holloway marston ( sadie ), geschaffen und hatte ihren ersten auftritt 1941 in all star comics # 8.","wonder woman ist eine us-amerikanische comicfigur, die in den 1970er jahren veröffentlicht wurde."
"dieser artikel beschreibt die grammatik der georgischen sprache ( eigenbezeichnung : [ kartuli ena ] ქართული ენა ). die grammatik des georgischen und der anderen sogenannten kaukasischen sprachen ist so umfangreich, dass hier keineswegs alle einzelheiten aufgeführt sind.","die georgianische grammatik ( auch georgianische grammatik ) ist eine grammatik, die sich mit der grammatik, der grammatik und der grammatik beschäftigt. sie beschäftigt sich mit der grammatik, der grammatik und der grammatik, der grammatik, der grammatik, der grammatik, der grammatik, der grammatik, der grammatik, der grammatik, der grammatik, der grammatik, der grammatik, der grammatik, der grammatik, der grammatik"
"ein zwiebelturm ist ein turm mit einer zwiebelhaube oder einem zwiebelhelm, z. b. ein kirchturm, dessen spitze in form einer zwiebel gearbeitet ist. der untere teil der spitze ist bauchig und läuft nach oben spitz zusammen, vergleichbar mit den kirchtürmen der moskauer basilius-kathedrale. neben runden bauformen werden auch türme mit eckigen turmhauben als zwiebelturm bezeichnet.","ein oniondom ( russisch onion dome, russisch onion dome, russisch onion dome, russisch onion dome, russisch onion dome, russisch onion dome, russisch onion dome, russisch onion dome, russisch onion dome, russisch onion dome, russisch onion dome, russisch onion dome, russisch onion dome, russisch onion dome ) ist ein begriff aus der architektur. es handelt sich dabei um eine kleine, kleine"
"als partikelschwarmoptimierung ( pso ) wird ein naturanaloges optimierungsverfahren bezeichnet, das nach dem vorbild des biologischen schwarmverhaltens eine lösung für ein optimierungsproblem sucht. analog zum natürlichen phänomen wird eine population von lösungskandidaten durch den suchraum bewegt, um eine gute lösung für das problem zu erhalten. in jedem rechenschritt wird dazu die position jedes individuums neu berechnet. die pso ist eine metaheuristik, sie wurde 1995 von james kenne","das pso-algorithmus ist ein algorithmus, das in der informatik verwendet wird. das pso-algorithmus ist ein algorithmus, das einen algorithmus entwickelt, um einen algorithmus zu verbessern."
"james rumbaugh ( * 22. august 1947 in bethlehem, pennsylvania ) ist ein amerikanischer informatiker.","james coplien rumbaugh ( * 26. juni 1946 in bethlehem, bethlehem ) ist ein us-amerikanischer informatiker."
das archaeological institute of america ( aia ) ist eine us-amerikanische non-profit-organisation zur förderung der archäologie mit sitz in boston und new york.,"die indiana jones institute ( aia ) ist ein us-amerikanisches forschungsinstitut, das sich mit der entwicklung der indiana jones beschäftigt."
"hirnventrikel sind mit hirnwasser ( liquor cerebrospinalis ) gefüllte hohlräume im gehirn. sie bilden, zusammen mit dem rückenmarkskanal ( canalis centralis medullaris ), den inneren liquorraum. das gehirn weist je einen seitenventrikel in jeder großhirnhemisphäre auf, einen dritten ventrikel im zwischenhirn und den vierten ventrikel im rhombencephalon. diese vier hirnventrikel stehen durch löcher ( foramina","der ventrikel ( lat. : ventrikel ) ist ein zentrales, zentralförmiges nervensystem, das sich im vorderen bereich des körpers befindet. der ventrikel befindet sich im vorderen bereich des ventrikels. der ventrikel liegt im vorderen bereich des ventrikels. der ventrikel liegt im vorderen bereich des ventrikels. der ventrikel liegt im vorderen bereich des ventrikels. der ventrikel liegt im vorderen"
