reference,system
"das farb - gen csf1ra sorgt in männlichen barschen für charakteristische pigmentflecken, die für die erfolgreiche befruchtung der eier notwendig sind. walter salzburger und ingo braasch klärten an der universität konstanz damit die genetische herkunft dieser optischen ei - attrappen auf, die im paarungsritus der fische die weibchen anlocken. die neunzehn barscharten, die die forscher für ihre untersuchungen auswählten, gehörten zu gruppe","die haplochromine ( auch : haplochromine ) sind eine spezielle gruppe von pigmentzellen, die in der biologie, der biologie, der biologie, der biologie, der biologie, der biologie, der biologie, der biologie, der biologie, der biologie, der biologie, der biologie, der biologie, der biologie, der biologie, der biologie, der biologie, der biologie, der biologie, der biologie"
"der nil - tilapia ( oreochromis niloticus ) - eine afrikanische buntbarschart - vertilgt dermaßen viele larven malaria übertragender mücken, dass er als natürliche waffe gegen die fiebererkrankung eingesetzt werden könnte. zu dieser überzeugung gelangen annabel howard und kollegen vom internationalen zentrum für insektenphysiologie und - ökologie ( icipe ) in nairobi nach mehrmonatigen studien mit der art in nicht mehr genutzten fisch",larvivorous fisch ( oreochromis ) ist ein fisch aus der familie der larvivorouse ( oreochromis ). es handelt sich dabei um eine methode zur bestimmung der anzahl der anzahl der anzahl der anzahl der anzahl der anzahl der anzahl der anzahl der anzahl der anzahl der anzahl der anzahl der anzahl der anzahl der anzahl der anzahl der anzahl der anzahl der anzahl der
"der krankheitserreger staphylococcus aureus nistet sich in den zellen seines wirts ein und entgeht so dem immunsystem und antibiotika. dies fanden christian garzoni von der universität genf und kollegen heraus. ist das bakterium erst einmal in eine lungenzelle gelangt, bleibt es möglichst unauffällig. die schweizer forscher untersuchten im reagenzglas, auf welche teile seines erbguts der keim vor und nach dem eintritt in die wirtszelle","staphylococcus aureus ( auch staphylococcus aureus, staphylococcus aureus ) ist eine infektionskrankheit, die durch infektionskrankheiten, infektionskrankheiten, infektionskrankheiten, infektionskrankheiten, infektionskrankheiten, infektionskrankheiten, infektionskrankheiten, infektionskrankheiten, infektionskrankheiten, infektionskrankheiten, infektionskrankheiten, infektionskrankheiten, infektionskrankheiten, infektionskrankheit"
"die haut von frauen altert schneller als die von männern. das haben untersuchungen von wissenschaftlern um martin kaatz von der universität jena mit einer neuen nicht - invasiven methode ergeben. das team um kaatz wandte zwei - photonen - tomografie an, um den anteil der zwei faserproteine kollagen und elastin in der haut der unterarme von 18patienten aller altersgruppen zu bestimmen. aus dem verhältnis von kollagen zu elastin kann auf das biologische alter der","shg-to-af-aging index ( shg-to-af-aging index, shg-to-af-aging index, shg-to-af-aging index, shg-to-af-aging index, shg-to-af-aging index, shg-to-af-aging index, shg-to-af-aging index, shg-to-af-aging index, shg-to-af-aging index"
"raucher können sich ihr laster leichter abgewöhnen, wenn sie möglichst mehrfach von einem berater angerufen werden. lindsay stead von der universität oxford und ihre kollegen ziehen diesen schluss aus einer analyse von 48studien, welche den einfluss verschiedener hilfestellungen beim abgewöhnen des rauchens untersuchten. die telefonisch beratenen sind um die hälfte erfolgreicher als ihre leidensgenossen, die nur selbsthilfematerial oder kurze beratungsgespräche","der begriff telephone counselling ( englisch : telephone counselling ) bezeichnet in der medizinischen medizin die möglichkeit, einen hilfsmittel oder einen hilfsmittel zu unterstützen. der begriff stammt aus dem englischen sprachraum."
"britische forscher haben jetzt herausgefunden, warum malaria - patienten auch für andere infektionskrankheiten anfälliger sind. ihrem bericht zufolge besitzt der erreger plasmodium die fähigkeit, schlüsselzellen des immunsystems zu schwächen [ 1 ]. in ihren versuchen hatten owain millington und sein team von der universität strathclyde dendritische zellen von mäusen mit roten blutzellen konfrontiert, die mit plasmodium chabaudi, dem erreger der mäuse -",der begriff adaptive immunantwort ( englisch adaptive immunantwort ) bezeichnet in der epidemiologie die adaptive immunantwort ( adaptive immunantwort ).
"zwei weitere gute gründe für nikotinverzicht liefern zwei studien von der anderen seite der erde. zum einen werteten neuseeländische forscher um george thomson von der wellington school of medicine aus, wie sich dass seit 2004 in dem inselstaat gültige rauchverbot in der öffentlichkeit auswirkte [ 1 ]. demzufolge ist seit dem verabschieden des anti - rauch - gesetzes der tabakkonsum in der freizeit deutlich zurückgegangen, was lunge und geldbeutel gleichermaß","die smokefree bar policy ( englisch smokefree bar policy ) ist eine richtlinie der öffentlichen gesundheits- und gesundheitsorganisation, die sich mit der gesundheits- und gesundheitspflege befasst. die richtlinie wurde 2004 von der schweizer gesundheitsorganisation smokefree bar policy ( caf ) veröffentlicht. die richtlinie wurde von der schweizer gesundheitsorganisation smokefree bar policy ( caf ) veröffentlicht."
"asymmetrische große brüste sind einer britischen studie zufolge ein indiz für ein erhöhtes brustkrebsrisiko, berichten forscher von der universität liverpool. sie analysierten mammographie - ergebnisse von rund 500 frauen, die zum zeitpunkt der untersuchung alle gesund gewesen waren. die hälfte der untersuchten hatte dann später tumoren im brustgewebe entwickelt. wie das team um diane scutt herausgefunden hat, korrellieren größenunterschiede der brüste statisti",der begriff asymmetrische asymmetrische asymmetrische asymmetrische asymmetrische asymmetrische asymmetrische asymmetrische asymmetrische asymmetrische asymmetrische asymmetrische asymmetrische asymmetrische asymmetrische asymmetrische asymmetrische asymmetrische asymmetrische asymmetrische asymmetrische asymmetrische asymmetrische asymmetrische asymmetrische asymmetrische asymmetrische asymmetrische asymmetrische asymmetrische asymmetrische
"ob junge salamander erwachsen werden und aus dem wasser an land gehen oder in ihrer entwicklung stehen bleiben, hängt von der umgebungsstruktur ab. gezielt bestimmten ronald bonett und paul chippindale von der texas - universität für jugendliche und für adulte populationen von flachstirn - gelbsalamandern ( eurycea tynerensis ) die flussbett - typen, in denen diese aufgewachsen waren. hierzu untersuchten sie die korngrößen","ein flussbed ( auch flussbed ) ist ein begriff aus der biologie. es handelt sich dabei um einen flussbed, der sich mit einem flussbed befasst. flussbed ist ein flussbed, das in einem flussbed, einem flussbed, einem flussbed, einem flussbed, einem flussbed, einem flussbed, einem flussbed, einem flussbed, einem flussbed, einem"
"personen, die wenig alkohol trinken, sind mit geringerer wahrscheinlichkeit fettleibig - nicht nur im vergleich zu menschen, die viel trinken, sondern auch zu abstinenzlern. dies ergab eine studie von ahmed arif von der texas - tech - universität in lubbock und james roher von der mayo - klinic in rochester. die beiden us - forscher hatten daten einer umfassenden untersuchung zum thema gesundheit und ernährung ( third national","der begriff körpergewichtsindex ( auch körpergewichtsindex, körpergewichtsindex, körpergewichtsindex, körpergewichtsindex, körpergewichtsindex, körpergewichtsindex, körpergewichtsindex, körpergewichtsindex, körpergewichtsindex, körpergewichtsindex, körpergewichtsindex, körpergewichtsindex, körpergewichtsindex, körpergewichtsindex, körpergewichtsindex, körpergewichtsindex, körpergewichts"
